Course_Name,Category,Platform,Duration (hours),Enrolled_Students,Completion_Rate (%),Price ($),Rating (out of 5)
Course_1,Office Tools,Coursera,0.07084528538378292,1.1992010735412502,0.49237996267359624,0.9847858062445899,-0.28641574555515403
Course_2,Office Tools,edX,-0.12000947049925277,0.11894541894587937,-1.3408577349109934,0.31058243840057653,1.4905931945038609
Course_3,Technology,LinkedIn Learning,0.5288966995030686,1.248367455739999,-1.1378554043867917,0.18847118826509365,-0.13974952780089706
Course_4,Office Tools,LinkedIn Learning,-0.463548031088717,1.5883178697999207,-0.8658614107083547,-0.184120092517251,1.6122635728089423
Course_5,Technology,Udemy,0.4143838459732471,0.8859409812463637,1.490322454488207,0.3832918706288074,-1.289149011199936
Course_6,Finance,edX,-0.9979413475612169,0.05362436831039857,-0.22745267547740344,0.8920441350194004,0.1870685579790464
Course_7,Marketing,Coursera,-1.3033089569740741,-1.1003808595830957,1.6565836365176105,-0.4800613616268566,-1.573355171633746
Course_8,Design,edX,0.07084528538378292,-0.9023105770109926,0.2557075945840794,1.2393595992235076,0.8763527401215718
Course_9,Programming,LinkedIn Learning,0.14718718773699718,-1.4340098816460354,-1.1218584685239483,-0.44096960838134713,-1.1334787395674644
Course_10,Design,edX,0.9487771624457471,0.4125389583612662,1.2221293806770204,1.5909563603915284,-0.4828731810258887
Course_11,Finance,edX,1.254144771858604,-0.660692927348569,-0.9837597503269725,-0.8045410272396688,1.0599350105482959
Course_12,Data Science,LinkedIn Learning,-1.2269670546208598,0.8079771466169189,0.7442324060414164,1.4722816876436664,-0.7177712254604144
Course_13,Programming,Coursera,0.22352909009021146,0.39708666681308796,1.1205958344206364,-1.0102956016949796,0.38185974154739055
Course_14,Programming,edX,-0.5017189822653242,0.520704999198514,0.42869688581027837,1.6053432457324968,-0.4977179171489403
Course_15,Business,LinkedIn Learning,-0.5780608846185384,-0.9542864667639558,-1.271855715923746,-1.4832736233224137,-1.6377617124558312
Course_16,Office Tools,Coursera,-0.7689156405015741,-1.6110088575615316,-1.167585546059017,-0.8275940672050345,-1.450511141416873
Course_17,Programming,Udemy,0.4525547971498543,1.3256289134808903,1.4673836053176654,0.7507840275328413,-0.8088778594161946
Course_18,Technology,LinkedIn Learning,-1.3033089569740741,-0.6901927566678183,1.0821488604715224,-1.1131708748723754,-0.33490589617520333
Course_19,Finance,edX,-1.4559927616805026,0.24818276643973386,-0.7251868152741412,-1.5886422193932224,0.7783590725055382
Course_20,Marketing,LinkedIn Learning,-0.2726932752056813,-1.0575358693813286,1.2720006128155152,-1.5840792299949813,0.4797934237265459
Course_21,Office Tools,LinkedIn Learning,0.2617000412668186,0.09998124295493332,1.197396994718911,0.6260666631520524,-0.11470846989753655
Course_22,Data Science,Udemy,-0.9597703963846098,-0.8938820543483499,1.2141199902322206,0.5246938055853664,1.0169616069123328
Course_23,Office Tools,Coursera,0.33804194362003287,0.04730297631341655,-1.6475612674681157,-0.7303272767884118,-0.8036324231572173
Course_24,Office Tools,Udemy,-0.9597703963846098,-1.0217146480650974,0.6223542698702222,0.534954421565372,-1.6755376681823193
Course_25,AI,Coursera,0.8342643089159256,0.32684897795773227,-0.8657707536052961,1.3082406135713975,-1.272684355494989
Course_26,Finance,Udemy,-1.5323346640337168,0.2875158721987331,0.2542012924805606,0.25860203904285733,0.2629074576951243
Course_27,Office Tools,Coursera,-1.6468475175635382,0.760215518195277,-1.525240319860329,-0.28726002246172333,0.9100400123591106
Course_28,Data Science,Coursera,1.5213414300948542,1.3754976725681929,-1.2625287932834375,0.9568028819715627,-0.7355286733298535
Course_29,Marketing,edX,0.1853581389136043,0.2278138366716807,-0.7206337207464381,0.16104897108316643,1.1854681642677036
Course_30,Design,Udemy,-0.31086422638228844,0.268551696207787,1.1504188542786955,0.1312164673398317,-0.7459315799501935
Course_31,Marketing,edX,-1.1124542010910383,1.3846285721193892,0.3125844620099684,0.6979523166996298,0.06601457174271504
Course_32,Design,LinkedIn Learning,-0.12000947049925277,-0.20344557290020332,-0.814791145151059,-0.7960138065101358,1.0943840422277638
Course_33,Technology,LinkedIn Learning,-1.570505615210324,-1.09335709069756,-0.9538376267512553,-0.7187117491060044,1.3063934581091972
