Course_Name,Category,Platform,Duration (hours),Enrolled_Students,Completion_Rate (%),Price ($),Rating (out of 5)
Course_1,Office Tools,Coursera,0.5222222222222221,0.844458052663809,0.6448201828594984,0.7930163687256363,0.41482809659420616
Course_2,Office Tools,edX,0.46666666666666673,0.5305164319248826,0.11444868876140091,0.5974278073388611,0.9263558890357171
Course_3,Technology,LinkedIn Learning,0.6555555555555556,0.85874668299653,0.17317901570556882,0.5620029416644056,0.4570472688799063
Course_4,Office Tools,LinkedIn Learning,0.3666666666666667,0.9575423555827721,0.25186922647475085,0.4539130149906257,0.9613797871247471
Course_5,Technology,Udemy,0.6222222222222222,0.7534190651153297,0.9335335619837957,0.618521047045221,0.12618242789773437
Course_6,Finance,edX,0.21111111111111114,0.5115329659114105,0.43656638560247085,0.7661117121773515,0.5511247550311142
Course_7,Marketing,Coursera,0.12222222222222222,0.17615839967340274,0.9816343574450901,0.3680595027703838,0.044371162592475644
Course_8,Design,edX,0.5222222222222221,0.23372116758522146,0.5763488233403491,0.8668690433195746,0.7495413235175445
Course_9,Programming,LinkedIn Learning,0.5444444444444444,0.07919983670136763,0.17780706736834362,0.37940014588201093,0.1709934969935849
Course_10,Design,edX,0.7777777777777778,0.6158399673402736,0.8559429901493776,0.9688683924551507,0.35827608044524495
Course_11,Finance,edX,0.8666666666666667,0.3039395795060217,0.21776021888801034,0.27392691010858744,0.8023871091553278
Course_12,Data Science,LinkedIn Learning,0.1444444444444445,0.7307613798734436,0.7176832692215351,0.9344404889131871,0.29065859388694415
Course_13,Programming,Coursera,0.5666666666666667,0.6113492549499898,0.8265684585760698,0.21423684753124772,0.6071971257837765
Course_14,Programming,edX,0.35555555555555557,0.6472749540722597,0.6263961188828173,0.9730420740783601,0.3540028914211375
Course_15,Business,LinkedIn Learning,0.33333333333333337,0.21861604409063073,0.1344115686183176,0.07702440506970815,0.025831168277972605
Course_16,Office Tools,Coursera,0.2777777777777778,0.027760767503572162,0.16457782902954654,0.2672391492081392,0.07973290679921474
Course_17,Programming,Udemy,0.6333333333333333,0.8812002449479486,0.9268971548645766,0.7251317015123355,0.26443274082926105
Course_18,Technology,LinkedIn Learning,0.12222222222222222,0.2953664013063891,0.8154454170611538,0.18439240052502376,0.40086977644022515
Course_19,Finance,edX,0.07777777777777777,0.5680751173708921,0.2925676015192922,0.04645663708786409,0.7213329767057317
Course_20,Marketing,LinkedIn Learning,0.4222222222222222,0.18860992039191674,0.870371168195605,0.04778037496072441,0.6353882052552775
Course_21,Office Tools,LinkedIn Learning,0.5777777777777777,0.5250051030822618,0.8487876973521062,0.6889507937289848,0.46425555960987896
Course_22,Data Science,Udemy,0.22222222222222227,0.23617064707083077,0.8536258043405649,0.6595422023145885,0.7900168335759195
Course_23,Office Tools,Coursera,0.6,0.5096958562972036,0.025716708712218095,0.2954565573607157,0.26594268620401995
Course_24,Office Tools,Udemy,0.22222222222222227,0.19902020820575628,0.6824228721305436,0.6625188399497416,0.01495702420107392
Course_25,AI,Coursera,0.7444444444444445,0.5909369259032456,0.2518954543573997,0.8868516467085904,0.13092192514853696
Course_26,Finance,Udemy,0.055555555555555566,0.5795060216370689,0.5759130371363783,0.5823481266140408,0.5729556553031578
Course_27,Office Tools,Coursera,0.022222222222222213,0.7168809961216576,0.061105214975052835,0.42399179020665306,0.7592385037694753
Course_28,Data Science,Coursera,0.9444444444444444,0.895692998571137,0.13710992786687282,0.7848984325612729,0.2855469549394509
Course_29,Marketing,edX,0.5555555555555556,0.5621555419473362,0.293884851077606,0.5540476684271918,0.8385229414253539
Course_30,Design,Udemy,0.41111111111111115,0.5739946927944479,0.8351965157131647,0.5453931633208418,0.2825523859541643
Course_31,Marketing,edX,0.1777777777777778,0.8983466013472138,0.5928037921619229,0.7098050525955347,0.5162782908688919
Course_32,Design,LinkedIn Learning,0.46666666666666673,0.43682384160032667,0.2666442952415,0.27640068421691066,0.8123035686224145
Course_33,Technology,LinkedIn Learning,0.04444444444444444,0.17819963257807717,0.22641694758628583,0.29882625923036865,0.8733323603397154
